sample_id,dataset,mode,split,num_variables,sequence_length,observed_variable_count,hidden_variable_count,ground_truth_edges,predicted_edges,auroc,auprc,f1,accuracy,shd,runtime_sec,threshold,native_binary_f1,native_binary_accuracy,native_binary_shd
sample_00253,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5371151142392334,0.08443901586548022,0.0,0.924072265625,311,57.975714144762605,300.00000000000006,0.07608695652173912,0.87548828125,492
sample_00254,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5192369609263169,0.08019404091063756,0.0,0.924072265625,311,56.110355944838375,300.00000000000006,0.07540394973070018,0.874267578125,497
sample_00255,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.49197330807426504,0.07315346736852839,0.0,0.924072265625,311,59.866468586958945,300.00000000000006,0.049429657794676805,0.8779296875,480
sample_00256,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5251130923810778,0.08192717904885864,0.0,0.924072265625,311,55.71384284691885,300.00000000000006,0.05850091407678245,0.874267578125,502
sample_00257,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5596605317147141,0.08654288808794125,0.0,0.924072265625,311,54.51060340600088,300.00000000000006,0.07116104868913858,0.87890625,480
sample_00258,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5516028323004584,0.08332270802078569,0.0,0.924072265625,311,54.80293689388782,300.00000000000006,0.07312614259597805,0.876220703125,489
sample_00259,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.49733717882825673,0.07676701006061544,0.0,0.924072265625,311,56.832222247030586,300.00000000000006,0.06378986866791744,0.878173828125,485
sample_00260,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5313587651373887,0.08718517450029391,0.0,0.924072265625,311,59.53098069597036,300.00000000000006,0.10412926391382407,0.878173828125,485
sample_00261,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.546093693586547,0.08544883137460065,0.0,0.924072265625,311,56.35198868997395,300.00000000000006,0.08141592920353984,0.873291015625,504
sample_00262,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5395404945057279,0.08316304223228879,0.0,0.924072265625,311,56.39643066516146,300.00000000000006,0.06805293005671077,0.879638671875,476
sample_00263,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5017895143717586,0.07613644951162803,0.0,0.924072265625,311,58.054572141263634,300.00000000000006,0.05859375,0.88232421875,474
sample_00264,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5079238999774877,0.07593016058942402,0.0,0.924072265625,311,54.15426134224981,300.00000000000006,0.06463195691202872,0.872802734375,499
sample_00265,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5362205694334125,0.08238204370587066,0.0,0.924072265625,311,55.78789853490889,300.00000000000006,0.08073394495412843,0.877685546875,485
