,ROI0,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63
ROI37,0.12,0.28,0.2,0.12,0.24,0.24,0.18,0.14,0.08,0.34,0.22,0.24,0.22,0.32,0.24,0.1,0.24,0.08,0.34,0.2,0.32,0.32,0.4,0.18,0.14,0.44,0.52,0.26,0.44,0.28,0.42,0.38,0.5,0.7,1.0,0.88,0.84,1.0,1.0,1.0,0.34,0.06,0.28,0.2,0.34,0.28,0.04,0.42,0.1,0.16,0.34,0.16,0.12,0.3,0.12,0.22,0.36,0.54,0.28,0.24,0.26,0.14,0.26,0.42
ROI38,0.4,0.2,0.22,0.36,0.3,0.38,0.42,0.4,0.22,0.32,0.58,0.38,0.5,0.34,0.34,0.44,0.5,0.38,0.52,0.42,0.46,0.28,0.32,0.38,0.4,0.14,0.32,0.32,0.5,0.42,0.5,0.46,0.82,0.46,0.62,0.84,0.82,0.78,1.0,0.98,0.46,0.34,0.32,0.44,0.48,0.38,0.32,0.38,0.32,0.44,0.46,0.48,0.48,0.42,0.42,0.34,0.32,0.36,0.32,0.34,0.36,0.36,0.36,0.48
ROI39,0.3,0.28,0.38,0.18,0.34,0.36,0.4,0.28,0.3,0.36,0.46,0.3,0.36,0.3,0.28,0.36,0.28,0.32,0.26,0.24,0.36,0.32,0.38,0.38,0.42,0.28,0.22,0.36,0.38,0.48,0.36,0.42,0.82,0.46,0.5,0.76,0.76,0.76,1.0,1.0,0.36,0.3,0.34,0.4,0.32,0.24,0.34,0.32,0.36,0.36,0.34,0.46,0.4,0.38,0.32,0.36,0.44,0.34,0.14,0.2,0.46,0.42,0.22,0.38
ROI40,0.3,0.28,0.32,0.08,0.42,0.24,0.44,0.2,0.26,0.34,0.38,0.24,0.42,0.4,0.3,0.54,0.4,0.28,0.32,0.32,0.28,0.16,0.32,0.38,0.38,0.26,0.18,0.28,0.18,0.3,0.24,0.3,0.4,0.32,0.36,0.26,0.34,0.34,0.44,0.34,1.0,0.24,0.68,0.82,0.98,0.98,0.36,1.0,0.32,0.32,0.44,0.26,0.2,0.36,0.28,0.32,0.5,0.26,0.22,0.16,0.26,0.32,0.1,0.5
ROI41,0.14,0.18,0.16,0.2,0.16,0.24,0.14,0.02,0.94,0.18,0.18,0.34,0.34,0.18,0.38,0.36,0.48,0.36,0.28,0.14,0.32,0.46,0.26,0.18,0.26,0.24,0.16,0.16,0.14,0.2,0.28,0.24,0.26,0.08,0.16,0.16,0.12,0.14,0.26,0.32,0.7,0.94,0.3,0.34,0.82,1.0,0.3,0.82,0.1,0.2,0.3,0.32,0.22,0.14,0.44,0.46,0.28,0.1,0.06,0.1,0.24,0.3,0.06,0.2
ROI42,0.12,0.08,0.02,0.04,0.08,0.06,0.1,0.0,1.0,0.04,0.04,0.06,0.0,0.0,0.22,0.68,0.04,0.24,0.06,0.04,0.0,0.04,0.22,0.08,0.06,0.1,0.08,0.1,0.08,0.08,0.04,0.0,0.2,0.1,0.22,0.14,0.1,0.16,0.08,0.08,0.82,1.0,1.0,0.56,0.54,1.0,0.9,0.9,0.0,0.02,0.04,0.16,0.12,0.08,0.26,0.3,0.14,0.06,0.12,0.02,0.04,0.26,0.04,0.08
ROI43,0.12,0.12,0.32,0.14,0.34,0.18,0.42,0.18,0.06,0.34,0.38,0.26,0.42,0.26,0.06,0.64,0.34,0.22,0.34,0.3,0.18,0.26,0.42,0.3,0.12,0.26,0.32,0.26,0.26,0.34,0.28,0.24,0.4,0.22,0.2,0.26,0.32,0.4,0.34,0.34,0.94,0.14,0.42,1.0,1.0,0.6,0.28,1.0,0.36,0.3,0.46,0.28,0.28,0.3,0.3,0.28,0.38,0.12,0.22,0.22,0.32,0.3,0.04,0.32
ROI44,0.42,0.34,0.22,0.2,0.48,0.3,0.42,0.3,0.1,0.18,0.5,0.32,0.28,0.34,0.3,0.64,0.34,0.26,0.28,0.38,0.34,0.18,0.44,0.28,0.22,0.46,0.4,0.38,0.36,0.24,0.34,0.38,0.46,0.24,0.2,0.36,0.3,0.3,0.32,0.36,0.98,0.18,0.66,0.8,1.0,0.62,0.54,0.94,0.32,0.16,0.46,0.48,0.22,0.4,0.36,0.3,0.5,0.26,0.74,0.7,0.48,0.56,0.42,0.38
ROI45,0.34,0.16,0.18,0.22,0.36,0.18,0.44,0.32,0.76,0.54,0.76,0.46,0.58,0.58,0.44,0.8,0.44,0.64,0.36,0.32,0.26,0.52,0.42,0.24,0.4,0.24,0.26,0.28,0.34,0.3,0.42,0.28,0.34,0.26,0.26,0.2,0.26,0.38,0.28,0.34,0.74,0.62,0.82,0.66,0.92,1.0,0.52,0.84,0.34,0.18,0.38,0.4,0.34,0.32,0.28,0.62,0.46,0.38,0.2,0.22,0.4,0.38,0.22,0.46
ROI46,0.0,0.32,0.04,0.06,0.06,0.02,0.18,0.02,1.0,0.24,0.0,0.1,0.16,0.0,0.3,0.34,0.28,0.28,0.14,0.24,0.0,0.14,0.18,0.06,0.14,0.4,0.2,0.12,0.04,0.12,0.22,0.06,0.26,0.08,0.04,0.06,0.02,0.04,0.06,0.06,0.84,0.98,0.56,0.62,0.54,1.0,1.0,0.88,0.14,0.06,0.04,0.02,0.06,0.08,0.38,0.32,0.28,0.0,0.16,0.28,0.04,0.38,0.26,0.08
