sample_id,dataset,mode,split,num_variables,sequence_length,observed_variable_count,hidden_variable_count,ground_truth_edges,predicted_edges,auroc,auprc,f1,accuracy,shd,runtime_sec,threshold
sample_00259,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7933873345028395,0.24459091354184626,0.0,0.924072265625,311,67.34885710477829,0.50242817401886
sample_00260,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7938698619954381,0.25000221447351934,0.0,0.924072265625,311,67.2697700751014,0.50242817401886
sample_00261,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.8028913421145408,0.26539041764390775,0.0,0.924072265625,311,67.51531263999641,0.50242817401886
sample_00262,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7847421918471543,0.2390834373237697,0.0,0.924072265625,311,67.24338299408555,0.50242817401886
sample_00263,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7923976434308724,0.24781855498054312,0.0,0.924072265625,311,67.1895971428603,0.50242817401886
sample_00264,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7983842125159816,0.25690503708048834,0.0,0.924072265625,311,67.24205179605633,0.50242817401886
sample_00265,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.799171717772388,0.2617437867885843,0.0,0.924072265625,311,67.2754608350806,0.50242817401886
sample_00266,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.8015546220272102,0.25235394135373024,0.0,0.924072265625,311,67.46849021315575,0.50242817401886
sample_00267,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7765829747650015,0.23047128689714685,0.0,0.924072265625,311,67.18135305680335,0.50242817401886
sample_00268,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7963610800800248,0.25519286723469614,0.0,0.924072265625,311,67.21411734819412,0.50242817401886
sample_00269,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7924494641651127,0.24720207109547265,0.0,0.924072265625,311,67.1632917970419,0.50242817401886
sample_00270,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7937959537351281,0.2507563075432643,0.0,0.924072265625,311,67.27799787092954,0.50242817401886
sample_00271,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.8081961712123078,0.2579457333129874,0.0,0.924072265625,311,67.38556047203019,0.50242817401886
sample_00272,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7818427792903957,0.23776600855427008,0.0,0.924072265625,311,67.04373810207471,0.50242817401886
sample_00273,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7858159854222327,0.252819361448345,0.0,0.924072265625,311,67.23025073483586,0.50242817401886
sample_00274,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.8081137677496634,0.26617620799272845,0.0,0.924072265625,311,67.24155822396278,0.50242817401886
sample_00275,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7967437889451932,0.2502988474785252,0.0,0.924072265625,311,67.14361521508545,0.50242817401886
sample_00276,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7962986403428663,0.25587941286471727,0.0,0.924072265625,311,67.25891357799992,0.50242817401886
sample_00277,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7699431246203706,0.23016535814808858,0.0,0.924072265625,311,67.4150447929278,0.50242817401886
sample_00278,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7759534802720164,0.23288305660522168,0.0,0.924072265625,311,67.16749025322497,0.50242817401886
sample_00279,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7986399181062495,0.24523326627882983,0.0,0.924072265625,311,67.20389697887003,0.50242817401886
