sample_id,dataset,mode,split,num_variables,sequence_length,observed_variable_count,hidden_variable_count,ground_truth_edges,predicted_edges,auroc,auprc,f1,accuracy,shd,runtime_sec,threshold,native_binary_f1,native_binary_accuracy,native_binary_shd
sample_00266,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7522263692082771,0.10351984221161276,0.0,0.96484375,144,43.613149176351726,0.3947333693504334,0.2152777777777778,0.8896484375,441
sample_00267,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7374430668016194,0.10335688375563454,0.0,0.96484375,144,43.63310778606683,0.3947333693504334,0.19791666666666666,0.88720703125,451
sample_00268,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7646708417678812,0.11405648847884585,0.0,0.96484375,144,43.57486502407119,0.3947333693504334,0.2152777777777778,0.8896484375,440
sample_00269,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7219182270580297,0.10575772652783129,0.0,0.96484375,144,43.67029825830832,0.3947333693504334,0.2152777777777778,0.8896484375,437
sample_00270,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7365802828385065,0.10098668905302055,0.0,0.96484375,144,43.71940265502781,0.3947333693504334,0.21875000000000003,0.89013671875,435
sample_00271,simulated_fMRI,latent,test,64,240,64,4,144,0,0.733543845591543,0.1062178441928011,0.0,0.96484375,144,43.893762081861496,0.3947333693504334,0.2152777777777778,0.8896484375,440
sample_00272,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7281597925101214,0.10421165504606039,0.0,0.96484375,144,43.979761285707355,0.3947333693504334,0.20555555555555555,0.93017578125,275
sample_00273,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7157258631354027,0.104613938669117,0.0,0.96484375,144,43.88186668790877,0.3947333693504334,0.21875000000000003,0.89013671875,437
sample_00274,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7581850258659469,0.11054958281979346,0.0,0.96484375,144,43.887835655827075,0.3947333693504334,0.2152777777777778,0.8896484375,434
sample_00275,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7269859845928925,0.10535054882176083,0.0,0.96484375,144,44.04755408316851,0.3947333693504334,0.22916666666666666,0.8916015625,435
