,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
x12,1.6475533806176244,0.6887919424543048,1.0190341192204742,2.424875941340597,0.7046978828992579,1.2781303455043889,0.5782593060156211,1.3380057997408203,0.5608134236674839,0.8378848803967156,0.7626228890959252,0.628061376355478,0.0,1.2248114523388234,0.4027414272126011,1.1883126729118771,2.920231246832803,1.0120502062666978,0.33655552883304446,1.0442221969119847,9.393079683192614,1.2420226485476134,0.6658912312360816,0.6246577085137088,0.8728882303685659
x13,0.7280963410813537,5.565352775442183,0.7644936109368144,1.523097620796477,1.0715208835139018,53.62011231919913,12.417512239106877,12.225772506593183,0.4204560631632321,0.4852494172138191,0.29165229051409103,0.44126199819848283,59.54708061981633,0.0,0.4755624672685401,4.477694686598156,0.6289063390773557,3.2484697998136087,0.795929957230675,0.4019471854659819,1.1173536072303225,0.3723531870048369,0.21397805246360777,0.9824891242924073,1.2312873778180133
x14,0.3433851460450729,0.505638936337811,0.9469276317090171,216.58479594582408,0.49904175097293374,2.536487922647735,0.7869580992561528,19.850157283691352,0.25486818788874943,0.18730360932207024,0.1636628778491459,0.17637763360560882,0.1285870790287213,7.965937363445005,0.0,39.01160310595301,0.4112590399979631,5.050171544270958,0.06865050982268324,0.2342953293949106,1.055025030533894,0.05229660714439044,0.08121491603553023,1.8322178435812906,0.19822535744365505
x15,0.04616677503238537,0.184851529604946,0.43545436597797277,1.8649134133578493,0.0944386062251259,5.221256955711685,1.5380597188738527,0.6852261313618814,0.09003546005607319,0.113976123884455,0.25732798759198783,0.3080956311900154,12.146639003171146,85.45962588760703,0.12769894440346297,0.0,0.07229543471586462,1.725543721890041,0.0223007116113038,0.0624717835355217,0.47835993334391697,0.07483757280732717,0.23518333174498837,0.328900730036203,0.10252919351713831
x16,0.16971778068863083,0.09539657118557623,0.5423434270254586,2.7285110738105565,0.20123857945124543,0.19654550133905085,0.30065793713981837,0.04632012289898459,0.04657936756432688,0.13137538475004673,0.1605195568847874,0.11543832330140961,0.6151779139152861,1.6485482585763738,0.2725105904766987,0.14008838028700288,0.0,0.06559576238514528,0.22191245912924137,0.11629855772333351,0.2755374105460911,0.048144917779234055,0.05487107430466477,0.1044700969532742,0.25871330180773194
x17,0.321854174861909,114.55715087830917,1.7068194501539977,4.649111083168951,0.07313757059414693,3.0195390291264554,12.640498544066833,154.63432458453568,0.10648727792159789,0.06642155891854418,0.9994589174108746,0.7677627536305336,4.105129547423144,21.354480560856658,0.1187952589854489,74.37291814761004,0.26353598101499653,0.0,0.27588674220844317,0.2034639116624996,0.7462162588814112,0.2879134829783453,0.21520694954483205,1.0307698985896114,0.28046746832305414
x18,1.227093196742064,0.08288399903301792,2.021987181606862,14.47911198874326,0.4310025858144684,0.5229721899035499,0.282308607524603,0.5589777652891299,0.5854563478299705,0.36476678451180594,1.3002347253416255,1.2732488332033365,0.6198890194728053,3.8306073541661796,0.7360561409317284,0.5558789266340963,0.6710478153038651,0.23640171330545662,0.0,0.21021005092038456,0.6024437498205232,0.7196981328038485,0.5507446902670469,2.585584260176464,0.5891189670101974
x19,0.02284575598263822,0.00798315749912277,300.0,8.356742012929088,0.224454252191467,0.08925580730979533,0.044139361307808246,8.827954859427518,0.13822849306646343,0.10414926984467913,0.04057709654610471,0.3500828954198312,0.12830943806198025,2.5470811070476325,0.21889682881907127,0.7851113115758035,0.3492733047648166,0.07858892217099644,0.3468941643157026,0.0,0.0773650666290922,0.1259808217788206,0.22441269085855955,0.04336612480403541,0.22531928270456367
x20,2.14913663895963,6.050928298554429,1.000241124598818,2.286331205185518,0.23898933678309303,2.9599815640530034,2.9864241713017785,4.585505382687602,1.139458270031206,0.7826886177520116,3.158186631367835,2.225322975030628,5.630194732301193,4.556176549332643,1.447229360548164,4.257846879226646,11.68680437244903,4.329454210726944,1.1766876644521629,0.4205042543033149,0.0,2.410909989929185,1.7843806984450412,4.545075971555434,0.08881818332955917
x21,1.1133265916165145,0.8694480737191644,0.5991787117233441,4.657042004755831,1.602452223953026,0.5055768853726166,0.5986392636582079,0.24810688862197408,0.8110894866300798,1.2373379377267313,0.9331343856149674,1.2324017615586143,1.0933924375460466,2.9320444707005895,0.44994178335214213,1.001462061401417,0.8710689355357011,1.0809052137616906,1.3170278038761145,0.8467423845448206,1.4629797874752482,0.0,1.4594549441563276,0.5859271100412422,0.19708979000134175
