dataset,setting,lambda,gamma,replica_index,auroc,auprc,f1,shd,core_runtime_sec,end_to_end_runtime_sec,predicted_edges,gt_edges,tp,fp,fn,tn
NC8,lambda_0.75_gamma_0.01875,0.75,0.01875,2,0.6826758147512865,0.34462461064044647,0.32,12.0,1291.5579882049933,1291.6611292548478,14,11,4,10,7,43
NC8,lambda_0.75_gamma_0.01875,0.75,0.01875,3,0.7032590051457976,0.3418392749878338,0.32,12.0,1290.4434081828222,1290.5438876929693,14,11,4,10,7,43
NC8,lambda_0.75_gamma_0.01875,0.75,0.01875,4,0.7186963979416809,0.3455814665445028,0.32,12.0,1285.5909642861225,1285.6949560241774,14,11,4,10,7,43
NC8,lambda_0.75_gamma_0.025,0.75,0.025,0,0.7478559176672385,0.3514876865636787,0.3902439024390244,22.0,1306.2248868630268,1306.326536839828,30,11,8,22,3,31
NC8,lambda_0.75_gamma_0.025,0.75,0.025,1,0.6843910806174958,0.34266806135557587,0.3870967741935483,15.0,1305.0189914354123,1305.1227185698226,20,11,6,14,5,39
NC8,lambda_0.75_gamma_0.025,0.75,0.025,2,0.7152658662092625,0.34956799839394576,0.375,28.0,1306.6054837726988,1306.7078304658644,37,11,9,28,2,25
NC8,lambda_0.75_gamma_0.025,0.75,0.025,3,0.7221269296740995,0.354558625090167,0.2857142857142857,15.0,1305.789634520188,1305.8998174997978,17,11,4,13,7,40
NC8,lambda_0.75_gamma_0.025,0.75,0.025,4,0.7307032590051458,0.35558370789232036,0.2857142857142857,15.0,1306.0914155165665,1306.1931856656447,17,11,4,13,7,40
NC8,lambda_0.75_gamma_0,0.75,0.0,0,0.6466552315608919,0.28447618260286656,0.3555555555555555,26.0,1290.9507597158663,1291.0538323558867,34,11,8,26,3,27
NC8,lambda_0.75_gamma_0,0.75,0.0,1,0.6449399656946827,0.2946347577929139,0.3555555555555555,26.0,1289.3724465072155,1289.4790693130344,34,11,8,26,3,27
NC8,lambda_0.75_gamma_0,0.75,0.0,2,0.6672384219554031,0.3209989565262541,0.3555555555555555,26.0,1289.6114649237134,1289.7161661600694,34,11,8,26,3,27
NC8,lambda_0.75_gamma_0,0.75,0.0,3,0.6655231560891939,0.34624319062118103,0.36065573770491804,39.0,1286.2457224661484,1286.3466482511722,50,11,11,39,0,14
NC8,lambda_0.75_gamma_0,0.75,0.0,4,0.660377358490566,0.3328925995714171,0.375,28.0,1282.1941055702046,1282.2978274049237,37,11,9,28,2,25
NC8,lambda_0_gamma_0.00625,0.0,0.00625,0,0.6003430531732419,0.24409318894964827,0.28571428571428564,10.0,1286.9322418351658,1287.0577773503028,10,11,3,7,8,46
NC8,lambda_0_gamma_0.00625,0.0,0.00625,1,0.6312178387650086,0.2576016338532385,0.42857142857142855,11.0,1282.5548247168772,1282.6750175589696,17,11,6,11,5,42
NC8,lambda_0_gamma_0.00625,0.0,0.00625,2,0.5969125214408233,0.2581735495639239,0.28571428571428564,10.0,1282.7670294609852,1282.884050865192,10,11,3,7,8,46
NC8,lambda_0_gamma_0.00625,0.0,0.00625,3,0.6260720411663808,0.25102769119961155,0.1904761904761905,11.0,1282.9180151349865,1283.0276209749281,10,11,2,8,9,45
NC8,lambda_0_gamma_0.00625,0.0,0.00625,4,0.5951972555746141,0.23864941163039538,0.1904761904761905,11.0,1283.0904188435525,1283.24245247012,10,11,2,8,9,45
NC8,lambda_0_gamma_0.0125,0.0,0.0125,0,0.6174957118353345,0.2561275210334771,0.28571428571428564,10.0,1294.135010364931,1294.2723666680977,10,11,3,7,8,46
