sample_id,dataset,mode,split,num_variables,sequence_length,observed_variable_count,hidden_variable_count,ground_truth_edges,predicted_edges,auroc,auprc,f1,accuracy,shd,runtime_sec,threshold,native_binary_f1,native_binary_accuracy,native_binary_shd
sample_00262,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.791462321653846,0.2554015373393465,0.0,0.924072265625,311,180.17011222010478,1.1633313894271853,0.4199192462987887,0.894775390625,417
sample_00263,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.776280545561894,0.2439302901918762,0.0,0.924072265625,311,180.16299026599154,1.1633313894271853,0.2998102466793169,0.909912109375,359
sample_00264,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7826502482722882,0.24627637932453314,0.0,0.924072265625,311,180.04321564501151,1.1633313894271853,0.28842504743833014,0.908447265625,364
sample_00265,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7841683409294601,0.26513150919139555,0.0,0.924072265625,311,180.6983015439473,1.1633313894271853,0.3415559772296015,0.915283203125,341
sample_00266,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.796009803463494,0.2521583878762818,0.0,0.924072265625,311,180.4326677666977,1.1633313894271853,0.2808349146110057,0.907470703125,370
sample_00267,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7466577750215566,0.22276024645581297,0.0,0.924072265625,311,180.83933342201635,1.1633313894271853,0.3741588156123822,0.886474609375,442
sample_00268,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7591559166960459,0.232189955969311,0.0,0.924072265625,311,180.85246081231162,1.1633313894271853,0.29222011385199237,0.908935546875,360
sample_00269,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7618437987146759,0.24297647654489116,0.0,0.924072265625,311,180.6537039577961,1.1633313894271853,0.3377609108159393,0.914794921875,342
sample_00270,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7398276323446333,0.22951772058508682,0.0,0.924072265625,311,181.03124657087028,1.1633313894271853,0.3036053130929791,0.910400390625,354
sample_00271,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7735399932887902,0.24719711914679676,0.0,0.924072265625,311,180.91696040611714,1.1633313894271853,0.3036053130929791,0.910400390625,360
sample_00272,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7532848823626856,0.2270547360254673,0.0,0.924072265625,311,181.3150121057406,1.1633313894271853,0.31878557874762814,0.912353515625,351
sample_00273,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7748499534887672,0.2483510353997972,0.0,0.924072265625,311,181.70630778186023,1.1633313894271853,0.2998102466793169,0.909912109375,361
sample_00274,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7972025298712552,0.2709329625227562,0.0,0.924072265625,311,181.70766545226797,1.1633313894271853,0.3415559772296015,0.915283203125,335
sample_00275,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7968465808934404,0.25896095885809195,0.0,0.924072265625,311,181.481200190261,1.1633313894271853,0.33017077798861477,0.913818359375,347
sample_00276,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7739783457292494,0.25053459174425946,0.0,0.924072265625,311,181.490728945937,1.1633313894271853,0.33017077798861477,0.913818359375,349
sample_00277,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7686934803569684,0.23794811594215867,0.0,0.924072265625,311,181.35314147174358,1.1633313894271853,0.3149905123339658,0.911865234375,355
sample_00278,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7537742060171518,0.22055791575828923,0.0,0.924072265625,311,181.58762091305107,1.1633313894271853,0.27703984819734345,0.906982421875,370
sample_00279,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7516113275027928,0.21729469289123496,0.0,0.924072265625,311,181.29086250578985,1.1633313894271853,0.28462998102466797,0.907958984375,365
