sample_id,dataset,mode,split,num_variables,sequence_length,observed_variable_count,hidden_variable_count,ground_truth_edges,predicted_edges,auroc,auprc,f1,accuracy,shd,runtime_sec,threshold
sample_00270,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6332825503261359,0.07377916423050573,0.0,0.96484375,144,0.511834945064038,0.03617477416992188
sample_00271,simulated_fMRI,latent,test,64,240,64,4,144,0,0.612591549988754,0.07773893970745901,0.0,0.96484375,144,0.5226168166846037,0.03617477416992188
sample_00272,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6445444289811066,0.06938361578651224,0.0,0.96484375,144,0.5535467471927404,0.03617477416992188
sample_00273,simulated_fMRI,latent,test,64,240,64,4,144,0,0.5990962733355826,0.07818740972459343,0.0,0.96484375,144,0.4784797909669578,0.03617477416992188
sample_00274,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6079578202316689,0.0747458525862284,0.0,0.96484375,144,0.5015224847011268,0.03617477416992188
sample_00275,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6289457869433198,0.08141865943703425,0.0,0.96484375,144,0.47298852913081646,0.03617477416992188
sample_00276,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6050927097390914,0.0779064416402942,0.0,0.96484375,144,0.46378594590350986,0.03617477416992188
sample_00277,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6052684294871795,0.06615602600623115,0.0,0.96484375,144,0.48084686510264874,0.03617477416992188
sample_00278,simulated_fMRI,latent,test,64,240,64,4,144,0,0.640774361785875,0.06542087488510978,0.0,0.96484375,144,0.47525013191625476,0.03617477416992188
sample_00279,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6392113346266307,0.07497277659365363,0.0,0.96484375,144,0.5045668031089008,0.03617477416992188
sample_00280,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6389205184435448,0.08434554392820466,0.0,0.96484375,144,0.4751904420554638,0.03617477416992188
sample_00281,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6155427631578947,0.07848518832455512,0.0,0.96484375,144,0.4794141366146505,0.03617477416992188
sample_00282,simulated_fMRI,latent,test,64,240,64,4,144,0,0.638257176394512,0.08376190497269752,0.0,0.96484375,144,0.4921168303117156,0.03617477416992188
sample_00283,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6512639521479981,0.07569574421461292,0.0,0.96484375,144,0.477687356993556,0.03617477416992188
sample_00284,simulated_fMRI,latent,test,64,240,64,4,144,0,0.5959886695906432,0.06860283639374533,0.0,0.96484375,144,0.47460673842579126,0.03617477416992188
sample_00285,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6169968440733243,0.06558168417469604,0.0,0.96484375,144,0.47400375502184033,0.03617477416992188
sample_00286,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6254955296896086,0.07879507557055393,0.0,0.96484375,144,0.4835626510903239,0.03617477416992188
sample_00287,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6439083234930274,0.06806503855164252,0.0,0.96484375,144,0.47400591475889087,0.03617477416992188
sample_00288,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6052201065564552,0.06068246054141345,0.0,0.96484375,144,0.4761576880700886,0.03617477416992188
sample_00289,simulated_fMRI,latent,test,64,240,64,4,144,0,0.623975553868646,0.07755854303869887,0.0,0.96484375,144,0.4739982751198113,0.03617477416992188
sample_00290,simulated_fMRI,latent,test,64,240,64,4,144,0,0.619764430105713,0.08776763742381012,0.0,0.96484375,144,0.47853695088997483,0.03617477416992188
sample_00291,simulated_fMRI,latent,test,64,240,64,4,144,0,0.5996647267206477,0.07256545114877008,0.0,0.96484375,144,0.487898716237396,0.03617477416992188
sample_00292,simulated_fMRI,latent,test,64,240,64,4,144,0,0.5995619306680162,0.06023424006397714,0.0,0.96484375,144,0.47560181422159076,0.03617477416992188
sample_00293,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7006420799595142,0.09162366951398368,0.0,0.96484375,144,0.47433881694450974,0.03617477416992188
sample_00294,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6358032501124606,0.07380958846202267,0.0,0.96484375,144,0.4913286860100925,0.03617477416992188
sample_00295,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6369102845254161,0.09974589729340268,0.0,0.96484375,144,0.4739911649376154,0.03617477416992188
sample_00296,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6592820442532613,0.08330943053059625,0.0,0.96484375,144,0.4757367349229753,0.03617477416992188
sample_00297,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6699095746176338,0.07250371145370277,0.0,0.96484375,144,0.4973646900616586,0.03617477416992188
sample_00298,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6121188638663968,0.061876736200568994,0.0,0.96484375,144,0.4755894639529288,0.03617477416992188
sample_00299,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6588822818263608,0.07837927006491575,0.0,0.96484375,144,0.4691926771774888,0.03617477416992188
